median_aqi,pm25_days,unhealthy_days,resp_death_rate,Risk_Cluster
43,0,5,0.000196234,1
48,108,0,0.000140929,0
32,47,0,0.000155444,1
43,81,0,0.000172051,0
9,0,0,0.000201989,1
59,112,0,0.000331333,0
35,0,0,0.000270877,1
42,94,0,0.000254295,0
44,7,0,0.000121907,1
44,113,0,0.000213634,0
57,366,0,0.000423295,2
9,120,0,0.000313051,0
61,117,1,0.000258921,0
40,0,0,0.00024283,1
55,252,0,0.000210849,2
23,19,0,0.000177358,1
56,300,0,0.000205615,2
37,76,0,0.00023916,0
6,0,0,0.000294578,1
53,241,4,0.000306942,2
59,365,0,0.000316125,2
52,216,1,0.000431961,2
61,115,0,0.000299682,0
82,192,26,0.000217681,0
49,233,0,0.000179204,2
33,360,1,0.000203607,2
34,51,0,0.000248592,1
38,0,0,0.000261463,1
48,0,0,0.000369359,1
65,231,19,0.000180151,2
61,64,0,0.000472199,0
46,39,0,0.000139527,1
63,292,1,0.00022519,2
46,0,1,0.00028437,1
47,103,0,0.000154172,0
58,272,5,0.000256141,2
52,237,1,0.000197189,2
43,0,0,0.000160263,1
52,362,0,0.000251389,2
37,118,0,0.00015934,0
45,282,0,0.000232894,2
29,365,0,7.75e-05,2
53,88,3,0.000237068,0
40,0,0,0.000129617,1
40,47,0,0.000225974,1
41,70,7,0.000249833,0
37,37,0,0.000268807,1
47,119,0,0.000237352,0
48,190,0,0.000231125,0
53,52,0,0.000158532,1
51,311,0,0.000307811,2
45,314,0,0.000212036,2
56,272,2,0.000199413,2
84,154,28,0.000142812,0
46,182,0,0.000237736,0
36,181,0,0.000265705,0
51,238,0,0.000281141,2
23,97,0,0.00018998,0
52,120,0,0.000222015,0
38,0,0,0.00021734,1
50,54,0,0.000231163,1
39,45,0,0.000273805,1
22,0,0,0.000225768,1
50,112,0,0.000583748,0
43,0,1,0.000220704,1
26,104,0,0.000155998,0
72,175,4,0.000283176,0
37,86,0,0.000225115,0
38,0,0,0.000175697,1
22,130,0,8.38e-05,0
45,91,3,0.000170103,0
34,365,0,0.000216667,2
43,0,0,0.000199396,1
33,0,0,0.000163117,1
35,256,0,0.000140496,2
61,104,0,0.000237036,0
14,0,0,0.000230385,1
50,108,0,0.000277853,0
51,45,3,0.000296855,1
39,0,0,0.000170279,1
51,29,1,0.000318769,1
39,356,0,0.00041455,2
43,0,0,0.000169757,1
46,240,0,0.000177704,2
43,0,0,0.000228771,1
17,118,0,0.000268673,0
32,0,0,0.000263939,1
57,116,0,0.000140405,0
42,0,0,0.000229084,1
53,267,0,0.000216552,2
58,287,1,0.000209068,2
52,215,1,0.000170123,2
30,94,0,0.000146918,0
52,263,0,0.000267751,2
50,0,0,0.000204087,1
33,121,0,0.000223337,0
51,365,0,0.000197413,2
16,115,0,0.00018451,0
33,0,0,0.000136777,1
47,310,0,0.000443557,2
34,236,0,0.000158943,2
43,363,20,0.000260733,2
41,0,0,0.000172339,1
53,262,1,0.000321911,2
46,101,4,0.000273359,0
44,0,1,0.000295623,1
32,0,0,0.000226516,1
41,0,15,0.000295978,1
51,220,2,8.39e-05,2
42,0,0,0.000457084,1
39,0,0,0.00032316,1
55,300,1,0.000132172,2
49,248,0,0.000113125,2
31,174,1,9.8e-05,0
57,182,8,0.000226997,0
42,222,0,0.000286379,2
59,119,0,0.000300403,0
33,233,1,9.88e-05,2
54,284,0,0.00020674,2
51,81,0,0.000651804,0
31,95,0,0.00013783,0
58,231,2,0.000173524,2
44,43,0,0.000405554,1
36,0,0,0.000514325,1
37,59,1,0.000332852,1
37,186,0,0.000209185,0
38,0,0,0.000265009,1
53,84,11,0.0001857,0
27,16,0,0.000238269,1
43,73,1,0.000203804,0
36,0,0,0.000342519,1
34,0,0,0.000246021,1
14,0,0,0.000255167,1
51,249,0,0.00024015,2
16,104,0,0.000516062,0
44,99,5,0.000186467,0
55,271,2,0.00011751,2
26,251,0,0.000133266,2
35,0,0,0.000162633,1
12,0,0,0.000239542,1
33,98,0,7e-05,0
42,0,0,0.000409247,1
55,348,0,0.000212939,2
31,47,0,0.000274595,1
51,200,0,0.00024245,2
38,59,1,0.000171566,1
39,359,0,0.000268181,2
44,172,0,0.000237779,0
35,0,0,0.000120941,1
52,242,0,0.000171999,2
17,0,0,0.000249838,1
44,0,0,0.000259215,1
47,95,9,0.000234837,0
48,354,0,0.000400498,2
51,309,0,0.000322579,2
52,270,0,0.000248903,2
49,0,1,0.00026307,1
51,279,0,0.000192354,2
40,102,2,0.000339079,0
60,271,8,0.000137489,2
52,227,0,0.000139528,2
13,0,0,0.00031911,1
45,19,5,0.00026386,1
63,239,4,0.000252146,2
54,111,0,0.000364467,0
37,0,0,0.000362123,1
27,35,0,0.000363419,1
53,261,0,0.000203059,2
39,148,0,0.000307417,0
44,84,0,0.000209186,0
42,86,11,0.000317987,0
44,156,0,0.000231927,0
34,121,0,0.000255976,0
45,95,0,0.000312735,0
54,38,0,0.000173855,1
52,97,0,0.000324773,0
14,365,1,0.00013758,2
37,0,0,0.0002198,1
43,0,1,0.000300158,1
46,182,0,0.000180934,0
42,53,0,0.000254084,1
59,137,15,0.000205855,0
36,196,0,0.00021608,0
22,0,0,0.000365716,1
56,52,0,0.000205807,1
62,119,0,0.000311828,0
25,182,2,0.000204402,0
49,15,0,0.000194071,1
44,154,0,0.000224396,0
40,122,1,0.000440329,0
52,283,0,0.000174417,2
34,94,0,0.000123124,0
13,0,0,0.000247117,1
43,0,0,0.000295032,1
41,93,0,0.000120881,0
47,48,0,0.000271757,1
37,365,5,0.000230997,2
42,56,2,0.000124405,1
37,355,0,0.000250147,2
50,166,2,0.000148273,0
38,77,0,0.000275993,0
37,0,0,0.000185253,1
42,0,0,0.000259309,1
41,76,0,0.000272392,0
35,0,0,0.000187004,1
41,185,0,0.000236563,0
44,169,0,0.000233264,0
11,0,0,0.000452102,1
51,0,0,8.16e-05,1
41,0,6,0.00017277,1
51,120,0,0.000369834,0
57,223,7,0.000139629,2
43,0,0,0.000229555,1
53,220,0,0.000292156,2
50,362,0,0.000100513,2
46,272,0,9.71e-05,2
50,340,0,0.000251133,2
42,69,0,0.000154844,0
59,85,0,0.000304164,0
40,37,2,0.00021908,1
45,92,1,0.0002595,0
43,300,0,0.000108136,2
41,0,0,0.000206432,1
9,116,0,0.000282611,0
37,5,0,0.00035705,1
37,77,0,0.000223552,0
39,92,1,0.000279526,0
34,120,0,0.000411751,0
36,0,0,0.000376864,1
19,107,0,0.000205726,0
42,0,0,0.000286492,1
43,84,4,0.000290839,0
25,111,0,0.000150439,0
34,0,0,0.000220553,1
52,121,0,0.00033561,0
45,67,7,0.000163955,0
54,110,1,0.000245921,0
42,80,0,0.000192816,0
34,217,0,0.000151517,2
52,269,0,0.000232119,2
53,222,3,0.000100555,2
54,361,1,0.000218917,2
50,31,0,0.000233023,1
21,0,0,0.000316377,1
43,97,0,0.000136386,0
50,0,5,0.0002153,1
55,351,0,0.000459305,2
18,0,0,0.000211652,1
46,267,0,0.000148786,2
53,118,0,0.000251919,0
37,16,3,0.000268384,1
53,271,1,0.000265521,2
44,271,0,0.000113983,2
33,360,0,0.000271887,2
21,116,0,0.000196825,0
19,0,0,0.000206117,1
35,217,0,0.000179345,2
53,259,0,0.000386997,2
29,359,3,0.000214129,2
46,297,0,0.000141816,2
51,261,0,0.000256105,2
40,221,1,0.000242222,2
7,65,0,0.000127535,0
15,0,0,9.18e-05,1
40,0,0,0.000318186,1
49,105,0,0.00032632,0
56,81,0,0.000263374,0
39,51,0,0.000340381,1
42,210,0,0.000184394,2
52,203,0,0.000217818,2
17,118,0,0.000198836,0
44,146,0,0.000140038,0
48,91,0,0.000321946,0
46,89,6,0.000180467,0
37,0,2,0.000246665,1
41,78,0,0.000165394,0
43,68,0,0.000254164,0
40,170,0,0.000275951,0
49,0,4,0.000383242,1
45,0,0,6.28e-05,1
55,282,0,0.000255741,2
32,46,2,0.000245792,1
18,0,0,0.000289104,1
38,0,0,0.000302968,1
34,28,0,0.000214234,1
38,0,0,0.000291361,1
38,0,0,0.000256837,1
15,0,0,0.000377433,1
24,95,0,0.000242898,0
47,77,2,0.000215393,0
35,0,0,0.000159751,1
38,0,5,0.000246041,1
31,355,0,0.000162574,2
46,0,9,0.000131474,1
40,0,0,0.000998999,1
33,366,0,0.000213219,2
44,44,0,0.000395105,1
41,225,0,0.00015866,2
42,0,10,9.52e-05,1
42,248,0,0.000110313,2
61,133,2,0.000162704,0
44,0,3,0.000194958,1
52,309,0,0.000198878,2
37,0,1,0.000293678,1
60,214,4,0.000166467,2
14,104,0,0.000492195,0
38,61,0,0.000306506,0
38,79,0,0.000322222,0
57,120,0,0.000172354,0
41,0,0,0.000205336,1
29,106,0,0.000181225,0
24,361,0,0.000215613,2
48,261,0,0.000214803,2
38,53,0,0.000267639,1
48,0,7,0.00044425,1
52,293,1,0.000361575,2
24,0,0,0.000280924,1
52,83,1,0.000138225,0
40,188,0,0.00027707,0
58,79,1,0.000356112,0
35,0,0,0.000130731,1
33,139,0,0.00012336,0
39,352,0,0.000156814,2
51,116,0,0.000203038,0
27,215,0,0.000117466,2
51,365,0,0.000136156,2
57,192,0,0.000131758,0
32,365,0,0.000234209,2
54,29,0,0.000255595,1
54,263,1,0.000223806,2
61,230,7,0.000174826,2
46,244,1,0.000238099,2
33,0,0,0.000346912,1
42,4,1,0.000243558,1
39,0,0,0.000220633,1
33,0,0,0.000179522,1
63,263,1,0.000188909,2
12,0,0,0.000267555,1
42,0,0,0.000414216,1
31,121,0,0.000511548,0
34,351,2,0.000224245,2
40,0,0,0.000211629,1
57,98,0,0.000181623,0
33,0,0,0.000315935,1
40,120,0,0.000285241,0
31,39,0,0.000299932,1
44,99,5,0.000152016,0
42,0,5,0.000256659,1
44,322,0,0.000217139,2
39,0,0,0.000296373,1
60,291,2,0.000257328,2
44,263,0,0.000255274,2
61,113,0,0.000213201,0
42,0,0,0.00014058,1
46,0,0,0.000253712,1
46,262,0,0.000220439,2
21,0,0,0.000318671,1
52,306,0,0.000145021,2
44,15,0,0.000230233,1
15,116,0,0.000252815,0
47,234,0,0.000233161,2
44,215,0,0.000158134,2
42,0,0,0.000350911,1
59,270,3,0.000109451,2
41,182,4,0.000329609,0
50,243,0,0.000230466,2
52,271,1,0.000149881,2
49,227,1,0.00017969,2
41,71,0,0.000343437,0
39,0,2,0.000241711,1
70,260,4,0.000292595,2
42,151,0,0.000216982,0
53,216,1,0.000187451,2
44,0,0,0.000180226,1
48,0,1,0.000128314,1
52,118,2,0.000243448,0
34,283,1,0.000295496,2
45,203,1,0.000227604,2
42,56,0,0.000242646,1
36,75,0,0.000279198,0
47,22,0,0.000149694,1
44,249,0,0.000228037,2
34,3,0,0.000155435,1
42,3,6,0.000171319,1
38,357,0,0.000116265,2
46,238,0,0.000123545,2
26,119,1,0.000170931,0
47,232,0,0.000217986,2
37,121,0,0.000222419,0
43,222,0,0.000149562,2
39,49,0,0.000262165,1
48,0,4,0.000240372,1
45,174,0,0.000198689,0
57,103,0,0.000371908,0
15,0,0,0.000243335,1
44,57,2,0.000149298,1
60,98,0,0.000397802,0
35,0,5,0.000172494,1
48,72,3,0.000270565,0
37,0,0,0.000465015,1
