Pollutant,Correlation_with_Resp_Death_Rate
pm25_days,-0.12378898928239442
ozone_days,-0.044255105192657004
no2_days,-0.03147853109899894
co_days,-0.011997801473008116
pm10_days,0.03495187579742045
