,resp_death_rate,median_aqi,max_aqi,unhealthy_days,pm25_days,ozone_days,no2_days,co_days,pm10_days
resp_death_rate,1.0,-0.08176258269430736,-0.06818474238388511,-0.09829630879829909,-0.12378898928239442,-0.044255105192657004,-0.03147853109899894,-0.011997801473008116,0.03495187579742045
median_aqi,-0.08176258269430736,1.0,0.04239154340871813,0.43171215453334993,0.30145154805896207,0.08495037849968019,-0.011415856275168395,-0.11737946894038909,-0.32793671440120936
max_aqi,-0.06818474238388511,0.04239154340871813,1.0,0.08778976690076529,-0.014310695349450156,0.010724383133949826,0.00626718953393249,-0.002247250742586943,0.143612129226932
unhealthy_days,-0.09829630879829909,0.43171215453334993,0.08778976690076529,1.0,0.023948217074867245,0.077326021417965,0.0855613270166053,-0.005443564624115464,-0.0345181212702912
pm25_days,-0.12378898928239442,0.30145154805896207,-0.014310695349450156,0.023948217074867245,1.0,-0.5587616887183351,-0.05610350271492745,-0.03527215670783063,-0.1523152624388008
ozone_days,-0.044255105192657004,0.08495037849968019,0.010724383133949826,0.077326021417965,-0.5587616887183351,1.0,-0.03434839481445441,-0.045824910510253454,-0.2454554419219136
no2_days,-0.03147853109899894,-0.011415856275168395,0.00626718953393249,0.0855613270166053,-0.05610350271492745,-0.03434839481445441,1.0,0.00826188021691968,-0.023715866984678185
co_days,-0.011997801473008116,-0.11737946894038909,-0.002247250742586943,-0.005443564624115464,-0.03527215670783063,-0.045824910510253454,0.00826188021691968,1.0,0.008526539646450709
pm10_days,0.03495187579742045,-0.32793671440120936,0.143612129226932,-0.0345181212702912,-0.1523152624388008,-0.2454554419219136,-0.023715866984678185,0.008526539646450709,1.0
