year,resp_death_rate,median_aqi,pm25_days,ozone_days
2000,0.0002543033568773234,42.465613382899626,72.86338289962825,132.9228624535316
2001,0.00024489533943275384,42.38700823421775,76.82433668801464,136.47666971637693
2002,0.00026160829363636363,42.21181818181818,80.51727272727273,137.66727272727272
2003,0.00026018252213188793,42.010840108401084,82.37850045167119,138.05149051490514
2004,0.00023856078113553114,40.87728937728938,93.82417582417582,140.0897435897436
2005,0.00025598549678012883,43.2851885924563,99.13339466421343,140.13707451701933
2006,0.0002371401396438613,42.6485473289597,102.55576382380507,143.8987816307404
2007,0.00022278167580340263,44.33648393194707,117.45557655954632,142.70793950850663
2008,0.00023980799620853082,42.95355450236967,123.1478672985782,141.01421800947867
2009,0.00022644490255439926,40.90066225165563,132.47965941343423,139.4654683065279
2010,0.000216186791312559,42.87252124645892,131.73276676109538,147.62700661000943
2011,0.00023060126546146527,43.17982873453853,134.27307326355853,146.4709800190295
2012,0.0002195337941747573,43.12233009708738,133.20388349514562,154.1233009708738
2013,0.0002443572060546875,41.5107421875,140.6005859375,149.2607421875
2014,0.00023561694488188976,41.4753937007874,142.76377952755905,150.94094488188978
2015,0.00024371342926829268,40.65268292682927,143.0390243902439,150.74536585365854
2016,0.00022249507608695652,39.60079051383399,137.7391304347826,160.33893280632412
2017,0.00023886995643564355,40.526732673267325,144.32079207920793,161.91584158415841
2018,0.00025127160995024874,40.06666666666667,149.74427860696517,160.15124378109454
2019,0.0002161903655378486,39.29980079681275,144.84860557768926,163.253984063745
